Year,yr_1850,yr_1851,yr_1852,yr_1853,yr_1854,yr_1855,yr_1856,yr_1857,yr_1858,yr_1859,yr_1860,yr_1861,yr_1862,yr_1863,yr_1864,yr_1865,yr_1866,yr_1867,yr_1868,yr_1869,yr_1870,yr_1871,yr_1872,yr_1873,yr_1874,yr_1875,yr_1876,yr_1877,yr_1878,yr_1879,yr_1880,yr_1881,yr_1882,yr_1883,yr_1884,yr_1885,yr_1886,yr_1887,yr_1888,yr_1889,yr_1890,yr_1891,yr_1892,yr_1893,yr_1894,yr_1895,yr_1896,yr_1897,yr_1898,yr_1899,yr_1900,yr_1901,yr_1902,yr_1903,yr_1904,yr_1905,yr_1906,yr_1907,yr_1908,yr_1909,yr_1910,yr_1911,yr_1912,yr_1913,yr_1914,yr_1915,yr_1916,yr_1917,yr_1918,yr_1919,yr_1920,yr_1921,yr_1922,yr_1923,yr_1924,yr_1925,yr_1926,yr_1927,yr_1928,yr_1929,yr_1930,yr_1931,yr_1932,yr_1933,yr_1934,yr_1935,yr_1936,yr_1937,yr_1938,yr_1939,yr_1940,yr_1941,yr_1942,yr_1943,yr_1944,yr_1945,yr_1946,yr_1947,yr_1948,yr_1949,yr_1950,yr_1951,yr_1952,yr_1953,yr_1954,yr_1955,yr_1956,yr_1957,yr_1958,yr_1959,yr_1960,yr_1961,yr_1962,yr_1963,yr_1964,yr_1965,yr_1966,yr_1967,yr_1968,yr_1969,yr_1970,yr_1971,yr_1972,yr_1973,yr_1974,yr_1975,yr_1976,yr_1977,yr_1978,yr_1979,yr_1980,yr_1981,yr_1982,yr_1983,yr_1984,yr_1985,yr_1986,yr_1987,yr_1988,yr_1989,yr_1990,yr_1991,yr_1992,yr_1993,yr_1994,yr_1995,yr_1996,yr_1997,yr_1998,yr_1999,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019
1870,8.475248876094188e-05,8.620167357300743e-05,8.755417828927407e-05,8.878796386835395e-05,8.97196572535279e-05,9.032674858772734e-05,9.074946214431522e-05,9.079834600187776e-05,9.060433063057087e-05,8.980356493335298e-05,8.852907257396805e-05,8.674377019315341e-05,8.455677714329542e-05,8.190568197829172e-05,7.856603970593512e-05,7.466863343403435e-05,6.977973310695086e-05,6.306032361334639e-05,5.269463243900291e-05,3.257014290025846e-05,9.489640463291454e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,8.47095704938558e-05,8.623945483754794e-05,8.768742831856934e-05,8.90336930664936e-05,9.009676726142585e-05,9.085629716593623e-05,9.145615433301703e-05,9.170894554872463e-05,9.175064530213273e-05,9.121698852288234e-05,9.024638816186158e-05,8.880612472001153e-05,8.70154641514076e-05,8.482386629767372e-05,8.202390659082029e-05,7.881215244719478e-05,7.490058528448161e-05,6.987744008722305e-05,6.325401235827977e-05,5.285660957515814e-05,3.27253985766985e-05,9.613928156739296e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,8.459678291114145e-05,8.619578409635627e-05,8.77258613844736e-05,8.91691949104767e-05,9.034611918323516e-05,9.123818494275685e-05,9.199232460887011e-05,9.242311040447582e-05,9.267079650189525e-05,9.23710513197791e-05,9.166678004939033e-05,9.052881292311368e-05,8.908427913633873e-05,8.729032201770966e-05,8.494630394722917e-05,8.228084952729454e-05,7.905697403171388e-05,7.500546370742787e-05,7.00920584802249e-05,6.344846192876327e-05,5.310864319005813e-05,3.315379412869614e-05,9.91316262682028e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,8.442309037493684e-05,8.608101820862211e-05,8.768143855803628e-05,8.920827761684305e-05,9.048361892971535e-05,9.149069613124863e-05,9.237898781134027e-05,9.29649503887027e-05,9.339245270006784e-05,9.32974217905426e-05,9.282653243026899e-05,9.195364844211823e-05,9.081236382213476e-05,8.936567392141097e-05,8.741632055551431e-05,8.521240000906004e-05,8.253644497809194e-05,7.91676731146506e-05,7.523582748201335e-05,7.03075345328489e-05,6.375101954038571e-05,5.38036901495155e-05,3.4185760854116634e-05,1.035544164597682e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,8.419638738317581e-05,8.590427881080206e-05,8.756469520456063e-05,8.91631043676757e-05,9.05232782573125e-05,9.162993814442605e-05,9.263465676771169e-05,9.335570253264994e-05,9.393997659065938e-05,9.402395544285021e-05,9.375746990379023e-05,9.311702899191844e-05,9.224166282641687e-05,9.109921900246273e-05,8.949466872788629e-05,8.769015286481593e-05,8.547710097381138e-05,8.265201673118838e-05,7.941081734003617e-05,7.546711938352657e-05,7.064280771791089e-05,6.45853014942209e-05,5.547846209203941e-05,3.5710966357500526e-05,1.0877053768537648e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,8.392362553923463e-05,8.56735989051725e-05,8.738491017695749e-05,8.904438854857085e-05,9.04774396394345e-05,9.167010024511719e-05,9.277564028789542e-05,9.361407540138186e-05,9.433482794831121e-05,9.457517966146491e-05,9.448758531196803e-05,9.405087874109729e-05,9.340868787634758e-05,9.253303440254733e-05,9.123071662803066e-05,8.977501054705656e-05,8.796254984058151e-05,8.559679084218369e-05,8.290586014006278e-05,7.965494603802414e-05,7.582700096734479e-05,7.156726234227445e-05,6.659568925397943e-05,5.795364406948125e-05,3.750977668551432e-05,1.1461920021830357e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,8.361092545928692e-05,8.539605205693662e-05,8.715025493072001e-05,8.886156580101192e-05,9.035697438233847e-05,9.16236812660582e-05,9.281630504833719e-05,9.375655023937616e-05,9.459591156190522e-05,9.497269928826404e-05,9.504152696559846e-05,9.478327811281509e-05,9.434546313966466e-05,9.370374720586716e-05,9.266660214274532e-05,9.151649583980653e-05,9.005388318483569e-05,8.808572036378588e-05,8.585967665600616e-05,8.316073494089166e-05,8.003480087581671e-05,7.681928901640683e-05,7.379498738079027e-05,6.95668691061864e-05,6.087286550452396e-05,3.952662453472408e-05,1.2046722907416152e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,8.326367540452493e-05,8.507786626488646e-05,8.68679249479299e-05,8.862294565693211e-05,9.017145721359858e-05,9.150169023556306e-05,9.276930615934129e-05,9.379764562337037e-05,9.473988153855216e-05,9.52355469078063e-05,9.544100622369423e-05,9.533895253505294e-05,9.508015699843421e-05,9.464348275831438e-05,9.383900523272926e-05,9.295687860797971e-05,9.180077760684302e-05,9.017998245684777e-05,8.835624884008866e-05,8.612363347849927e-05,8.355731006317105e-05,8.10821477438238e-05,7.921050102802606e-05,7.708736679813873e-05,7.307107385620161e-05,6.414585088103907e-05,4.154348385565672e-05,1.2615776832744507e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,8.288661821341872e-05,8.472452432419213e-05,8.654425557045979e-05,8.833584518349279e-05,8.992932015190747e-05,9.131382317765797e-05,9.264579029925283e-05,9.375015046737736e-05,9.478140873230793e-05,9.538048920838208e-05,9.570514950613552e-05,9.573968129522343e-05,9.563757233040267e-05,9.538049843783175e-05,9.47800976213737e-05,9.413295369696713e-05,9.324563426253707e-05,9.192932328803104e-05,9.04569416913005e-05,8.862788184514289e-05,8.653433968044966e-05,8.465074918911908e-05,8.360605567410591e-05,8.274449652108037e-05,8.09703959131422e-05,7.699991308767438e-05,6.741904492453023e-05,4.350607133177427e-05,1.31050966278249e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,8.248392792160886e-05,8.434085228375705e-05,8.61848240926652e-05,8.800670677359176e-05,8.963798812176502e-05,9.106861893126705e-05,9.245557472524566e-05,9.362532930467984e-05,9.473341619315075e-05,9.542229621847722e-05,9.585080616513093e-05,9.600465065402394e-05,9.603955664426456e-05,9.593967548499234e-05,9.551817748016007e-05,9.507699359490376e-05,9.442536228343977e-05,9.337620339040092e-05,9.221165412618033e-05,9.073503372085401e-05,8.90505317251971e-05,8.766673359288449e-05,8.728574217457645e-05,8.733616180384846e-05,8.691248860489935e-05,8.532395712389229e-05,8.092905103865809e-05,7.060419584743391e-05,4.51933620875377e-05,1.349896702492609e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
